"Incident_Id","Incident Date","city-county","killed","injured"
2214602,"2022-01-17","San Antonio",0,2
2214722,"2022-01-16","Plano",1,0
2214963,"2022-01-18","Crosby",3,0
2215105,"2022-01-16","Leonard",0,1
2215129,"2022-01-18","Premont",0,1
2215132,"2022-01-18","Diboll",1,0
2215252,"2022-01-19","Marshall",0,1
2215258,"2022-01-19","El Paso",0,1
2215283,"2022-01-18","Houston",0,1
2215291,"2022-01-18","Houston",1,1
2215330,"2022-01-18","Houston",1,0
2215336,"2022-01-18","Houston",0,1
2215351,"2022-01-16","Del Rio",1,0
2215353,"2022-01-19","San Antonio",0,1
2215772,"2022-01-19","Austin",0,2
2215777,"2022-01-19","Houston",1,0
2215785,"2022-01-19","Dallas",1,0
2215796,"2022-01-17","San Augustine",0,1
2215830,"2022-01-19","Houston",1,0
2215838,"2022-01-19","Houston",0,1
2215844,"2022-01-16","Bovina",2,0
2215867,"2022-01-20","Abilene",1,1
2215937,"2022-01-18","Dallas",1,0
2216065,"2022-01-19","Crowley",1,0
2216083,"2022-01-19","Fort Worth",0,1
2216114,"2022-01-19","Houston",1,0
2216119,"2022-01-20","Houston",1,0
2216203,"2022-01-20","San Antonio",0,1
2216245,"2022-01-19","San Antonio",0,2
2216252,"2022-01-19","San Antonio",0,1
2216671,"2022-01-08","Austin",1,0
2216693,"2022-01-20","Humble",1,0
2216718,"2022-01-19","San Antonio",1,0
2216736,"2022-01-20","Alvin",1,0
2216748,"2022-01-16","Huntsville",0,2
2216785,"2022-01-21","Austin",0,1
2216789,"2022-01-21","Houston",2,0
2216905,"2022-01-21","Dallas",1,1
2216919,"2022-01-21","Carrollton",0,0
2216926,"2022-01-19","Dallas",1,0
2216956,"2022-01-21","Houston",1,0
2216985,"2022-01-21","Houston",1,1
2217060,"2022-01-21","Port Arthur",1,0
2217076,"2022-01-21","Houston",1,0
2217078,"2022-01-21","Texarkana",0,1
2217541,"2022-01-22","Houston",1,0
2217546,"2022-01-21","Houston",0,1
2217550,"2022-01-22","Austin",2,0
2217560,"2022-01-16","Waco",1,0
2217567,"2022-01-02","Humble",0,1
2217591,"2022-01-21","Nacogdoches",0,1
2217594,"2022-01-22","Houston",0,1
2217799,"2022-01-22","Aledo",0,1
2217802,"2022-01-22","San Antonio",1,0
2217897,"2022-01-23","Houston",1,0
2217900,"2022-01-22","Dallas",2,0
2217929,"2022-01-03","Baytown",0,1
2217964,"2022-01-23","San Juan",1,0
2218235,"2022-01-22","Mesquite",1,0
2218249,"2022-01-23","Fort Worth",1,1
2218264,"2022-01-23","Houston",1,0
2218286,"2022-01-23","Highlands",0,1
2218299,"2022-01-22","Overton",0,1
2218332,"2022-01-23","San Antonio",1,0
2218342,"2022-01-23","San Antonio",0,2
2218356,"2022-01-23","San Antonio",0,1
2218363,"2022-01-23","San Antonio",0,2
2218407,"2022-01-23","Humble",0,1
2218411,"2022-01-23","Houston",0,1
2218424,"2022-01-23","Austin",0,1
2218426,"2022-01-23","Austin",2,0
2218810,"2022-01-23","Rosharon",1,1
2218835,"2022-01-23","Desoto",1,1
2218847,"2022-01-23","Houston",1,0
2218892,"2022-01-24","Houston",0,1
2218897,"2022-01-24","Houston",0,1
2218899,"2022-01-24","Houston",1,0
2219415,"2022-01-24","North Richland Hills",2,0
2219609,"2022-01-24","Dallas",1,0
2219636,"2022-01-24","Houston",1,0
2219645,"2022-01-25","Cibolo",0,0
2219655,"2022-01-23","Hallettsville",1,0
2219845,"2022-01-24","Longview",1,1
2220175,"2022-01-25","Fort Worth",1,0
2220177,"2022-01-25","Lubbock",0,1
2220187,"2022-01-16","Ranger",0,1
2220190,"2022-01-25","Amarillo",0,1
2220202,"2022-01-25","Amarillo",1,0
2220209,"2022-01-25","Corpus Christi",1,0
2220254,"2022-01-26","Houston",0,1
2220283,"2022-01-25","Houston",0,1
2220307,"2022-01-18","San Antonio",0,0
2220308,"2022-01-25","San Antonio",0,0
2220942,"2022-01-26","Humble",0,1
2220949,"2022-01-27","Houston",0,1
2220953,"2022-01-26","Houston",0,1
2220958,"2022-01-16","Hempstead",1,0
2221043,"2022-01-26","Texas City",1,1
2221051,"2022-01-26","Texas City",1,0
2221068,"2022-01-23","Dallas",1,0
2221093,"2022-01-25","Killeen",0,1
2221105,"2022-01-25","Houston",0,1
2221130,"2022-01-26","Dallas",1,0
2221204,"2022-01-27","Houston",0,4
2221718,"2022-01-27","Fort Worth (Forest Hill)",1,1
2221736,"2022-01-28","Amarillo",1,1
2221740,"2022-01-27","Austin",1,0
2221837,"2022-01-27","Mcallen",1,0
2221844,"2022-01-28","Royse City",0,0
2221891,"2022-01-27","Fort Worth",0,2
2221911,"2022-01-27","Houston",0,1
2221956,"2022-01-27","Houston",0,1
2222309,"2022-01-28","Waco",0,1
2222312,"2022-01-28","Houston",0,1
2222316,"2022-01-28","Austin",0,0
2222520,"2022-01-29","Austin",0,2
2222538,"2022-01-28","Dallas",1,0
2222542,"2022-01-29","Denton",1,0
2222575,"2022-01-29","Weatherford",0,2
2222596,"2022-01-28","Fort Worth",1,0
2222616,"2022-01-29","Houston",0,2
2222620,"2022-01-28","Houston",1,0
2222643,"2022-01-29","Houston",0,1
2222657,"2022-01-29","San Antonio",0,1
2222880,"2022-01-30","Livingston",1,1
2222914,"2022-01-29","Port Arthur",1,1
2222920,"2022-01-30","Temple",0,1
2222923,"2022-01-29","Eustace",1,0
2223086,"2022-01-30","Houston",0,1
2223090,"2022-01-30","San Antonio",0,1
2223096,"2022-01-30","Houston",0,1
2223105,"2022-01-30","Henderson",2,0
2223437,"2022-01-31","Houston",0,2
2223440,"2022-01-31","Houston",0,1
2223442,"2022-01-30","Houston",0,1
2223593,"2022-01-30","Waco",2,0
2223603,"2022-01-30","Pittsburg",1,1
2223606,"2022-01-30","Beaumont",1,0
2223612,"2022-01-31","Fort Worth",0,1
2223622,"2022-01-31","Austin",0,2
2223637,"2022-01-31","Wichita Falls",0,2
2223676,"2022-01-30","Allen",0,2
2223751,"2022-01-31","Fort Worth",0,1
2223769,"2022-01-01","San Antonio (Live Oak)",1,0
2224108,"2022-01-31","Mesquite",1,0
2224148,"2022-01-31","Houston",0,1
2224150,"2022-02-01","Houston",0,1
2224266,"2022-02-01","Amarillo",1,0
2224331,"2022-02-01","Crosby",2,0
2224406,"2022-01-31","Taft",1,1
2224420,"2022-01-31","Cleburne",1,0
2224506,"2022-01-31","Nacogdoches",0,1
2224558,"2022-01-31","Fort Worth",0,1
2224786,"2022-02-01","San Antonio",0,1
2224801,"2022-02-01","San Antonio",0,1
2224810,"2022-01-31","San Antonio",0,2
2224818,"2022-01-31","San Antonio",1,0
2224916,"2022-02-01","Wichita Falls",1,1
2224921,"2022-01-29","Forney",0,1
2224924,"2022-02-01","Houston",0,1
2224926,"2022-02-01","Houston",0,1
2224930,"2022-02-01","San Antonio",0,2
2225124,"2022-02-01","Abilene",1,2
2225342,"2022-02-01","Fort Worth",0,1
2225353,"2022-02-02","Houston",1,0
2225529,"2022-02-02","Houston",1,0
2225533,"2022-02-02","Houston",0,1
2225685,"2022-02-02","Temple",0,1
2225704,"2022-02-02","Houston",0,1
